,Title,Writer(s),Date,Link
1897,"On recording, a lie aimed to sell fentanyl: Camden County woman died of OD. Mother to speak at hearing. Opioid","Sapatkin, Don. 
",2017-09-08,proquest.com/docview/1936688361/fulltext/D56B04AB35D64F99PQ/2
1898,Wolf: Med-pot crackdown will 'force more suffering',"Wood, Sam. 
",2017-09-08,proquest.com/docview/1936688344/fulltext/D56B04AB35D64F99PQ/11
1899,"Cousin:DiNardo called it 'massacre': Sean Kratz, facing homicide and other charges, was held for trial. Cosmo DiNardo, who has confessed, waived his hearing.","McCrystal, Laura; McDaniel, Justine. 
",2017-09-08,proquest.com/docview/1936688482/fulltext/D56B04AB35D64F99PQ/17
1900,Marijuana firm files suit: BrightStar Biomedics wants permit given to a rival to grow cannabis taken back because of an investigation.,"Wood, Sam. 
",2017-09-09,proquest.com/docview/1937534786/fulltext/D3B893F8830447DEPQ/6
1901,"White-Coat Weapon in War on Opioids: NMS Labs in Willow Grove is a dominant player in testing, and can take on even the newest drug synthetics.","Wood, Sam. 
",2017-09-10,proquest.com/docview/1937534721/fulltext/D38263E763354D05PQ/48
1902,'Grandson' Scam: Hatboro resident bilked out of $11K by phone warns others.,"Gelles, Jeff. 
",2017-09-10,proquest.com/docview/1937534806/fulltext/D38263E763354D05PQ/53
1903,Leach: Suit on cannabis permits may be deadly,"Wood, Sam. 
",2017-09-12,proquest.com/docview/1937918229/fulltext/3914CC6D344048BDPQ/5
1904,Accused killer was on probation: Teenager charged in botched carjacking had been found guilty in robbery.,"Palmer, Chris. 
",2017-09-12,proquest.com/docview/1937918176/fulltext/3914CC6D344048BDPQ/8
1905,"Loudon Wainwright telling all - in a book: After 23 albums, the profilic singer-songcraft master over-shares his life's details on paper.","DeLuca, Dan. 
",2017-09-12,proquest.com/docview/1937918688/fulltext/3914CC6D344048BDPQ/21
1906,'Corporate greed' called death cause: Overdose victim's mother: Drug rep misled on her daughter.,"Sapatkin, Don. 
",2017-09-13,proquest.com/docview/1938291231/fulltext/9020FA53140B4DC7PQ/4
1907,"Mother left fentanyl at school, say Phila. police","Farr, Stephanie. 
",2017-09-13,proquest.com/docview/1938290430/fulltext/9020FA53140B4DC7PQ/27
1908,2011 murder case weakens in court: Prosecutors request a delay to investigate claims that police arrested the wrong man.,"Slobodzian, Joseph A. 
",2017-09-14,proquest.com/docview/1938713008/fulltext/477C9E00D6F74FDBPQ/15
1909,A big brother's guiding hand: The Eagles' Jason Kelce has helped Travis through a carefree time in his life. EAGLES AT CHIEFS,"Bowen, Les. 
",2017-09-14,proquest.com/docview/1938713672/fulltext/477C9E00D6F74FDBPQ/32
1910,Safe-injection sites catch DA candidates' attention: Krasner endorses the idea; his foe says she's open to discussion. THE OPIOID EPIDEMIC,"Whelan, Aubrey; Sapatkin, Don. 
",2017-09-15,proquest.com/docview/1939124911/fulltext/C7A40741543248D5PQ/2
1911,Toomey seeks probe of alleged drug-treatment frauds,"Lubrano, Alfred. 
",2017-09-15,proquest.com/docview/1939124887/fulltext/C7A40741543248D5PQ/5
1912,Hearing set to review high bail in drug case,"Slobodzian, Joseph A. 
",2017-09-16,proquest.com/docview/1939972170/fulltext/4F9619E7DE0141C3PQ/5
1913,Price: $144 million for the battle on opioids: The HHS secretary was in Delco visiting an addiction-treatment center.,"Whelan, Aubrey. 
",2017-09-16,proquest.com/docview/1939972150/fulltext/4F9619E7DE0141C3PQ/8
1914,Lessons of the 'crack' war,"Jackson, Harold. 
",2017-09-17,proquest.com/docview/1942423271/fulltext/E3AD5F8BBFD34C0FPQ/20
1915,"Hair-coloring options for those with allergy: PPD is in most dyes, but for some people, it's a real problem. WOMEN'S HEALTH","McCullough, Marie. 
",2017-09-17,proquest.com/docview/1942423108/fulltext/E3AD5F8BBFD34C0FPQ/51
1916,AMBITIOUS INTERVENTION: As heroin deaths continue to rise - and hit home for many - one school district is weighing unusual steps to save lives.,"Boccella, Kathy. 
",2017-09-19,proquest.com/docview/1940351089/fulltext/D286BDFCFD4C4803PQ/1
1917,Christie: Pharma-NIH to work on opioid crisis,"Lai, Jonathan; Sapatkin, Don. 
",2017-09-19,proquest.com/docview/1940350762/fulltext/D286BDFCFD4C4803PQ/7
1918,"Acid assault victim seeks prayer - for her attacker: A friend calls Chester Springs native Courtney Siverling, who wasn't injured, ""one of the most caring people I know.""","McCarthy, Erin. 
",2017-09-19,proquest.com/docview/1940351192/fulltext/D286BDFCFD4C4803PQ/14
1919,"Delco files suit to recoup its losses: It's the first county in Pa. to go after makers of painkillers, hoping to stem the epidemic.","McCarthy, Erin. 
",2017-09-22,proquest.com/docview/1941582404/fulltext/8F9B671BF2644C06PQ/2
1920,News in Brief,"Moran, Robert; Wood, Sam; AP. 
",2017-09-22,proquest.com/docview/1941582530/fulltext/8F9B671BF2644C06PQ/18
1921,"Sign of Love, Loss: A mother draws attention to the pain of drug addiction.","Newall, Mike. 
",2017-09-24,proquest.com/docview/1942921259/fulltext/C3DDFD6B2BE748C7PQ/7
1922,"Prosecutors, drugmakers in legal dance","DiStefano, Joseph N. 
",2017-09-25,proquest.com/docview/1942422310/fulltext/466DF7FA1DC84370PQ/13
1923,Regs on accessing pot in Pa.,"Wood, Sam. 
",2017-09-26,proquest.com/docview/1942926741/fulltext/6D47082B8ADE456FPQ/20
1924,"Paperwork, rules hamper compassionate discharge: Successful petitions are rare and excruciatingly slow in Pa.","Melamed, Samantha. 
",2017-09-27,proquest.com/docview/1943371946/fulltext/FC2297D221DA493EPQ/2
1925,Cannabis ads planned for Pa.: Grower Cresco Yeltrah will use billboards to tell residents about the medical marijuana program.,"Wood, Sam. 
",2017-09-27,proquest.com/docview/1943369959/fulltext/FC2297D221DA493EPQ/7
1926,GOP's uncaring response to Puerto Rico's pain,"Bunch, Will. 
",2017-09-27,proquest.com/docview/1943372559/fulltext/FC2297D221DA493EPQ/12
1927,"Murder charges withdrawn in '11 case: Dante Hill had been accused of shooting a man outside a N. Phila. bar. Evidence was missing, probe was tainted.","Slobodzian, Joseph A. 
",2017-09-27,proquest.com/docview/1943368816/fulltext/FC2297D221DA493EPQ/16
1928,"Hotshot pilot up to risky business: Tom Cruise stars as a CIA-funded drug smuggler in the darkly comic ""American Made.""","Thompson, Gary. 
",2017-09-29,proquest.com/docview/1944444028/fulltext/3C14587B2EC84394PQ/49
1929,"Real estate broker charged in killing: Police say Jeanette B. Wakefield shot her boyfriend, Terry Corrigan IV, at her Fishtown apartment.","Shaw, Julie. 
",2017-09-30,proquest.com/docview/1945372507/fulltext/5D53314DCEF54102PQ/13
1930,"Higher Cause: Pain, not pot, is his focus","Hefler, Jan. 
",2017-10-01,proquest.com/docview/1945372025/fulltext/54F75BC8881742ABPQ/6
1931,"Lawyer: Realtor shot man in self-defense: Jeanette Wakefield, charged with murder, says Terry Corrigan IV was assaulting her.","Shaw, Julie. 
",2017-10-01,proquest.com/docview/1945372701/fulltext/54F75BC8881742ABPQ/11
1932,"Hope for homeless addicts: The goal: Give Phila. opioid users real housing, and the rest will fall into place. NEW CITY PROGRAM","Sapatkin, Don. 
",2017-10-02,proquest.com/docview/1945372555/fulltext/9AAFF090F0514071PQ/2
1933,Rabb: Budget process 'boggles the mind',"Baer, John. 
",2017-10-02,proquest.com/docview/1945372538/fulltext/9AAFF090F0514071PQ/6
1934,'Condolences' but no action,"WILL BUNCH bunchw. 
",2017-10-03,proquest.com/docview/1945982661/fulltext/D72DBCA6D39649FFPQ/12
1935,Man sentenced in '84 cold-case killing,"McCarthy, Erin. 
",2017-10-03,proquest.com/docview/1945982531/fulltext/D72DBCA6D39649FFPQ/17
1936,Pa. pot permit offered for sale for $20M; state says not so fast,"Wood, Sam. 
",2017-10-04,proquest.com/docview/1946733216/fulltext/8512393B320C4474PQ/2
1937,"Montco seizure:Enough fentanyl to kill half the county: About two pounds of ""some of the worst kinds of poisons"" were taken and three people arrested.","McCarthy, Erin. 
",2017-10-04,proquest.com/docview/1946731531/fulltext/8512393B320C4474PQ/22
1938,"Dr. Alan D. Schreiber, 75; researcher, teacher, mentor","Cook, Bonnie L. 
",2017-10-04,proquest.com/docview/1946733117/fulltext/8512393B320C4474PQ/27
1939,"Sweet gig for NAACP head, a soda-tax backer","Clout, Philly. 
",2017-10-06,proquest.com/docview/1947664368/fulltext/BC6D10B0107A4964PQ/19
1940,Bensalem police dog sniffs 13 lbs. of heroin,"McCarthy, Erin. 
",2017-10-06,proquest.com/docview/1947665179/fulltext/BC6D10B0107A4964PQ/20
1941,"Pa. to pay for naloxone: Wolf said first responders would get 120,000 doses of the opioid reversal medication.","Sapatkin, Don. 
",2017-10-06,proquest.com/docview/1947663823/fulltext/BC6D10B0107A4964PQ/21
1942,Controversial speaker is pulled from event,"Boren, Michael. 
",2017-10-06,proquest.com/docview/1947665298/fulltext/BC6D10B0107A4964PQ/26
1943,"TO SAVE LIVES: In Toronto, activists seeking fast action as deaths rose created a pop-up safe-injection site - the kind of place Phila. activists have long fought for.","Newall, Mike. 
",2017-10-08,proquest.com/docview/1948813574/fulltext/39785C7A45684999PQ/3
1944,"Shapiro making a name for himself: Wide travel, clashes with Trump heighten profile.","Seidman, Andrew. 
",2017-10-09,proquest.com/docview/1948813566/fulltext/6110D155FA7041E8PQ/3
1945,The holdup on N.J. medical marijuana: The panel that approves expansion of conditions that can be treated must vote once again.,"Hefler, Jan. 
",2017-10-10,proquest.com/docview/1949375457/fulltext/CBACA70178BE4D62PQ/9
1946,Questions follow student's death: She was shot in Miami Beach after her car hit an officer as she tried to drive away from a police stop. DEADLY FORCE DEBATE,"Nadolny, Tricia L. 
",2017-10-11,proquest.com/docview/1949732561/fulltext/EA9FB1B5F08C43E7PQ/2
1947,Phila. has resources to create safe-injection sites: Toronto shows a way forward,"Newall, Mike. 
",2017-10-11,proquest.com/docview/1949732385/fulltext/EA9FB1B5F08C43E7PQ/17
1948,"In Camden, 14 fentanyl ODs in four-hour span","Moran, Robert. 
",2017-10-12,proquest.com/docview/1951385705/fulltext/7D29D0CCDC1441E3PQ/13
1949,Here are some tips on best of 3 Days in Philly music festival,"DeLuca, Dan. 
",2017-10-12,proquest.com/docview/1951385494/fulltext/7D29D0CCDC1441E3PQ/24
1950,Man gets 10 years in drug ring at Shore,"Zoppo, Avalon. 
",2017-10-14,proquest.com/docview/1951384449/fulltext/42359050533D49A7PQ/17
1951,The ceaseless suffering of crisis,"Newall, Mike. 
",2017-10-15,proquest.com/docview/1951384985/fulltext/84E32418E07F4D8FPQ/6
1952,Not Alone: Grief unites amid opioid deaths,"McCullough, Marie. 
",2017-10-15,proquest.com/docview/1951384596/fulltext/84E32418E07F4D8FPQ/10
1953,"Blacks far more likely to be arrested for pot: Across the state, there was an 8-1 arrest rate vs. whites. In some counties, it's higher than 10-1.","McDaniel, Justine. 
",2017-10-17,proquest.com/docview/1951755492/fulltext/86B452B24BC64FE6PQ/1
1954,Opioid missteps: Receiving the drug in a hospital can involve health risks.,"Avril, Tom. 
",2017-10-17,proquest.com/docview/1951755427/fulltext/86B452B24BC64FE6PQ/7
1955,"Sale of marijuana company suspended: Franklin Labs, chaired by a former Wolf aid, won't continue efforts to sell itself after the state stepped in.","Wood, Sam. 
",2017-10-17,proquest.com/docview/1951762511/fulltext/86B452B24BC64FE6PQ/8
1956,"Does bias linger after death?: Yes, say some families who are denied victim compensation. FIGHTING FOR COMPENSATION","Melamed, Samantha. 
",2017-10-18,proquest.com/docview/1952322173/fulltext/EFF39D9791E1499FPQ/1
1957,"Amid uproar, a scramble to repeal Marino bill: The law limited the DEA's ability to go after drug manufacturers that supply opioids to pill mills.","Whelan, Aubrey. 
",2017-10-18,proquest.com/docview/1952322299/fulltext/EFF39D9791E1499FPQ/5
1958,Local opioid seller's CEO offers his side,"DiStefano, Joseph N. 
",2017-10-18,proquest.com/docview/1952321580/fulltext/EFF39D9791E1499FPQ/7
1959,"15 indicted in drug smuggling ring: Officials: They distributed 66 pounds a month of cocaine, heroin in Camden and North Philadelphia.","Zoppo, Avalon R. 
",2017-10-18,proquest.com/docview/1952321619/fulltext/EFF39D9791E1499FPQ/22
1960,Mall giant tries to stop pot dispensary,"Wood, Sam. 
",2017-10-19,proquest.com/docview/1952914428/fulltext/69A5CA1E324C4960PQ/8
1961,Why Pa. is a national joke,"Bunch, Will. 
",2017-10-22,proquest.com/docview/1954089233/fulltext/82799E735F1544B5PQ/22
1962,Opioid deaths killing morgue budgets: Not every body that arrives gets a full postmortem. But each receives an examination.,"Wood, Sam. 
",2017-10-22,proquest.com/docview/1954088587/fulltext/82799E735F1544B5PQ/53
1963,A Second Look: Reconsidering pharma leaders for what their firms do.,"DiStefano, Joseph N. 
",2017-10-22,proquest.com/docview/1954088432/fulltext/82799E735F1544B5PQ/55
1964,Medical-cannabis tracker has another web crash: Denver-based MJ Freeway won a $10.4M deal from Pa. Several states had major weekend disruptions.,"Wood, Sam. 
",2017-10-25,proquest.com/docview/1955217204/fulltext/F7D4A319F3164B6BPQ/7
1965,"In Phila., hoping for action, skeptical on funding","Schaefer, Mari A. 
",2017-10-27,proquest.com/docview/1956279594/fulltext/401FBF6A63C84D4FPQ/2
1966,Uncle sought in toddler's shooting,"Shaw, Julie. 
",2017-10-27,proquest.com/docview/1956279163/fulltext/401FBF6A63C84D4FPQ/27
1967,"Bridging eras, cultures with Denve: With the guest conductor, the Philadelphia Orchestra took on a new work and made a smart point about cross-cultural sympathies.","Dobrin, Peter. 
",2017-10-28,proquest.com/docview/1957586714/fulltext/393C9AC255014C83PQ/15
1968,"UNGODLY PAIN|LEGACY OF A PREDATOR PRIEST: DECADES LATER, THE DAMAGE FROM ONE PHILADELPHIA PREDATOR PRIEST STILL TORMENTS A GENERATION OF VICTIMS.","Panaritis, Maria. 
",2017-10-29,proquest.com/docview/1957585289/fulltext/48545C8BEE154824PQ/3
1969,"Moving Targets: Addicts pushed out, but have to go somewhere.","Newall, Mike. 
",2017-10-29,proquest.com/docview/1957585341/fulltext/48545C8BEE154824PQ/8
1970,There's real power in just saying no: The president echoed Nancy Reagan's much-mocked line. We should not scoff at it.,"Riordan, Kevin. 
",2017-10-29,proquest.com/docview/1957586935/fulltext/48545C8BEE154824PQ/10
1971,Beware the marijuana pitch: The ads say they can connect you to a medical fix. Not true.,"Wood, Sam. 
",2017-10-29,proquest.com/docview/1957586024/fulltext/48545C8BEE154824PQ/12
1972,"Genetic Analysis Drives Firm's Growth: Genomind saw revenues double over two years. It analyzes DNA to determine how patients metabolize medicine, guiding drug choice.","Avril, Tom. 
",2017-10-29,proquest.com/docview/1957585288/fulltext/48545C8BEE154824PQ/73
1973,"Post-Sandy, even locals feel a change","Rosenberg, Amy S. 
",2017-10-30,proquest.com/docview/1957584989/fulltext/7A71A47E8DF04BD2PQ/2
1974,"N.J. is told to rethink labeling pot as a danger: Citing medical marijuana, a court said benefits not known in 1971 were ""glaringly apparent now.""","Hefler, Jan. 
",2017-11-01,proquest.com/docview/1958422790/fulltext/90ACA3B54D684CB7PQ/16
1975,N.J. creates standards for 2 water pollutants: PFOA and PFNA are linked to health issues.,"Kummer, Frank. 
",2017-11-02,proquest.com/docview/1958995426/fulltext/941D9793E01C4580PQ/17
1976,"Delco scanner IDs drugs fast: The county is the area's first to have the $50,000 device, which could prevent officers' exposure.","McCarthy, Erin. 
",2017-11-02,proquest.com/docview/1958994198/fulltext/941D9793E01C4580PQ/20
1977,"Officials: 6 months to medical marijuana: ""You have my commitment: It's going to happen,"" director of state office said.","Navratil, Liz. 
",2017-11-02,proquest.com/docview/1958994937/fulltext/941D9793E01C4580PQ/21
1978,"Going for the sleazy and easy is no gift: ""A Bad Moms Christmas"" brings lots of vulgarity to the holiday season.","Thompson, Gary. 
",2017-11-02,proquest.com/docview/1958995679/fulltext/941D9793E01C4580PQ/23
1979,Give these 'Bad Moms' coal in their stockings,"Thompson, Gary. 
",2017-11-03,proquest.com/docview/1959473214/fulltext/8904A05966E74FDDPQ/57
1980,"Did fentanyl dealer sell the fatal dose?: The relatively new crime of ""drug delivery resulting in death"" can be tough to prove, as Massimino case shows.","Slobodzian, Joseph A. 
",2017-11-04,proquest.com/docview/1960786334/fulltext/8ED99BD3F8704414PQ/9
